<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.05.12	2062.58	2076.21	2052.48	2063.69	9377	0	0
2016.05.13	2063.09	2067.32	2041.99	2046.55	12838	0	0
2016.05.16	2045.50	2071.98	2038.43	2065.50	6623	0	0
2016.05.17	2064.86	2071.99	2039.98	2047.70	10293	0	0
2016.05.18	2046.45	2060.43	2033.68	2045.78	16014	0	0
2016.05.19	2046.18	2047.06	2024.91	2041.27	13205	0	0
2016.05.20	2041.42	2058.15	2040.05	2052.26	8089	0	0
2016.05.23	2055.20	2058.41	2046.16	2047.58	8589	0	0
2016.05.24	2047.73	2079.43	2043.86	2077.30	6481	0	0
2016.05.25	2077.58	2094.62	2075.71	2090.70	6454	0	0
2016.05.26	2090.34	2093.82	2084.47	2092.70	11649	0	0
2016.05.27	2092.17	2099.52	2089.80	2098.87	4399	0	0
2016.05.31	2102.70	2104.27	2087.80	2095.70	5241	0	0
2016.06.01	2095.21	2100.73	2084.69	2098.60	7487	0	0
2016.06.02	2098.01	2105.98	2088.24	2105.10	7099	0	0
2016.06.03	2104.48	2107.11	2084.21	2099.44	7190	0	0
2016.06.06	2098.20	2113.28	2095.57	2109.85	5689	0	0
2016.06.07	2109.25	2119.08	2107.63	2111.50	3985	0	0
2016.06.08	2110.67	2120.40	2107.30	2118.18	4134	0	0
2016.06.09	2118.08	2118.96	2107.13	2115.20	4545	0	0
2016.06.10	2114.62	2114.62	2089.12	2096.24	5837	0	0
2016.06.13	2095.20	2098.00	2075.12	2076.10	10498	0	0
2016.06.14	2076.12	2081.35	2063.60	2073.40	9809	0	0
2016.06.15	2072.96	2086.02	2068.34	2070.30	10445	0	0
2016.06.16	2070.20	2079.63	2048.93	2077.30	12036	0	0
2016.06.17	2076.89	2082.77	2061.62	2067.21	9926	0	0
2016.06.20	2067.70	2100.96	2067.70	2091.30	8177	0	0
2016.06.21	2087.06	2093.94	2082.29	2086.83	9964	0	0
2016.06.22	2087.48	2099.54	2083.54	2084.88	8389	0	0
2016.06.23	2092.10	2121.10	2091.30	2121.10	13994	0	0
2016.06.24	2120.40	2127.08	2006.58	2024.66	55537	0	0
2016.06.27	2025.80	2030.58	1990.06	1991.30	27157	0	0
2016.06.28	1991.06	2038.06	1990.81	2037.00	13088	0	0
2016.06.29	2034.81	2083.45	2031.19	2082.80	11687	0	0
2016.06.30	2080.95	2099.48	2065.08	2094.30	13709	0	0
2016.07.01	2094.62	2108.31	2089.50	2103.93	9022	0	0
2016.07.04	2103.10	2112.06	2101.56	2107.41	3402	0	0
2016.07.05	2106.93	2106.93	2080.08	2091.80	10262	0	0
2016.07.06	2090.87	2101.29	2072.85	2099.15	15572	0	0
2016.07.07	2098.54	2108.77	2088.90	2099.20	10818	0	0
2016.07.08	2098.91	2131.98	2094.29	2127.21	10016	0	0
2016.07.11	2127.00	2143.19	2126.63	2136.80	8053	0	0
2016.07.12	2137.45	2155.68	2135.08	2151.85	6540	0	0
2016.07.13	2151.75	2158.38	2145.73	2151.55	6959	0	0
2016.07.14	2151.20	2173.83	2148.83	2163.40	8518	0	0
2016.07.15	2162.05	2170.43	2154.98	2158.38	7425	0	0
2016.07.18	2159.00	2168.79	2158.64	2165.56	6263	0	0
2016.07.19	2165.46	2166.59	2157.09	2164.90	5695	0	0
2016.07.20	2164.69	2175.39	2160.57	2174.20	4483	0	0
2016.07.21	2173.85	2175.73	2159.18	2164.79	5418	0	0
2016.07.22	2164.69	2174.92	2161.57	2173.14	4951	0	0
2016.07.25	2173.20	2178.05	2161.55	2168.60	5358	0	0
2016.07.26	2168.00	2173.48	2159.28	2171.07	6243	0	0
2016.07.27	2171.47	2174.45	2158.10	2168.03	8465	0	0
2016.07.28	2167.43	2173.31	2158.83	2171.20	6535	0	0
2016.07.29	2170.33	2176.95	2162.46	2175.44	9922	0	0
2016.08.01	2176.30	2182.84	2165.62	2170.69	5791	0	0
2016.08.02	2171.29	2175.97	2147.33	2157.54	7184	0	0
2016.08.03	2157.19	2163.00	2150.32	2161.07	7622	0	0
2016.08.04	2160.72	2168.35	2158.45	2164.50	6951	0	0
2016.08.05	2163.76	2182.63	2163.51	2180.42	4877	0	0
2016.08.08	2179.60	2186.82	2177.15	2180.50	3353	0	0
2016.08.09	2179.59	2187.46	2177.96	2181.27	3737	0	0
2016.08.10	2180.92	2184.55	2171.26	2176.20	4352	0	0
2016.08.11	2175.25	2188.13	2173.13	2184.39	3995	0	0
2016.08.12	2184.29	2186.67	2178.73	2182.96	3719	0	0
2016.08.15	2183.60	2193.72	2183.37	2188.40	2815	0	0
2016.08.16	2188.35	2188.48	2177.29	2180.50	4158	0	0
2016.08.17	2179.41	2183.80	2167.58	2182.80	5727	0	0
2016.08.18	2182.55	2186.43	2178.18	2184.75	4097	0	0
2016.08.19	2185.15	2185.78	2174.38	2183.19	4066	0	0
2016.08.22	2183.40	2186.09	2175.44	2182.70	6118	0	0
2016.08.23	2182.40	2193.13	2181.03	2187.20	4664	0	0
2016.08.24	2187.28	2189.16	2170.71	2176.60	5418	0	0
2016.08.25	2176.44	2178.88	2169.13	2175.45	6234	0	0
2016.08.26	2175.35	2188.08	2159.23	2169.67	9202	0	0
2016.08.29	2168.60	2183.23	2165.83	2181.10	4870	0	0
2016.08.30	2180.40	2182.13	2169.73	2176.19	5421	0	0
2016.08.31	2176.34	2176.47	2160.48	2169.47	5818	0	0
2016.09.01	2169.72	2177.85	2155.99	2167.50	7290	0	0
2016.09.02	2167.39	2184.62	2165.27	2178.81	8115	0	0
2016.09.05	2179.30	2182.97	2176.07	2179.32	3955	0	0
2016.09.06	2179.84	2186.80	2174.55	2186.40	6089	0	0
2016.09.07	2186.04	2187.27	2178.53	2185.30	5262	0	0
2016.09.08	2185.20	2189.83	2176.68	2178.70	7271	0	0
2016.09.09	2177.97	2178.85	2122.93	2123.68	11963	0	0
2016.09.12	2122.00	2163.66	2107.80	2158.30	16654	0	0
2016.09.13	2157.52	2157.77	2119.43	2132.30	19600	0	0
2016.09.14	2131.80	2141.33	2118.83	2121.36	14870	0	0
2016.09.15	2121.25	2151.08	2114.13	2143.40	12725	0	0
2016.09.16	2143.58	2143.71	2129.81	2139.94	10338	0	0
2016.09.19	2138.20	2154.20	2134.73	2140.32	7202	0	0
2016.09.20	2140.97	2150.53	2136.02	2137.02	7936	0	0
2016.09.21	2136.77	2164.78	2133.40	2163.50	13027	0	0
2016.09.22	2163.15	2179.63	2160.03	2175.85	5940	0	0
2016.09.23	2175.50	2176.63	2163.33	2164.64	5967	0	0
2016.09.26	2163.90	2166.54	2144.23	2147.00	7632	0	0
2016.09.27	2146.40	2161.13	2140.38	2158.67	10089	0	0
2016.09.28	2158.92	2172.03	2150.90	2169.35	8964	0	0
2016.09.29	2169.00	2173.63	2144.08	2154.44	13134	0	0
2016.09.30	2152.59	2174.73	2142.72	2165.20	10413	0	0
2016.10.03	2163.00	2170.11	2153.98	2161.40	6672	0	0
2016.10.04	2160.80	2166.68	2143.23	2149.97	11341	0	0
2016.10.05	2150.37	2163.90	2147.25	2159.46	6856	0	0
2016.10.06	2159.11	2163.35	2149.77	2161.57	7274	0	0
2016.10.07	2161.47	2167.60	2144.45	2152.47	10871	0	0
2016.10.10	2151.20	2169.70	2151.20	2165.13	5987	0	0
2016.10.11	2165.03	2166.66	2128.18	2139.40	8738	0	0
2016.10.12	2139.02	2146.65	2132.50	2133.71	8905	0	0
2016.10.13	2133.36	2138.28	2113.59	2132.00	10813	0	0
2016.10.14	2132.55	2149.53	2128.68	2132.52	9217	0	0
2016.10.17	2131.79	2135.77	2123.17	2127.40	7336	0	0
2016.10.18	2128.55	2145.43	2126.43	2136.85	6585	0	0
2016.10.19	2136.75	2147.87	2132.13	2142.70	5233	0	0
2016.10.20	2142.35	2148.98	2131.83	2142.54	7162	0	0
2016.10.21	2141.69	2144.07	2129.17	2140.27	6633	0	0
2016.10.24	2142.79	2154.77	2140.67	2151.00	4523	0	0
2016.10.25	2150.18	2155.06	2140.77	2142.50	5067	0	0
2016.10.26	2140.77	2145.80	2130.50	2139.69	6413	0	0
2016.10.27	2139.19	2149.07	2127.86	2133.08	7684	0	70
2016.10.28	2132.48	2140.46	2117.96	2129.21	12759	0	70
2016.10.31	2126.12	2135.87	2124.12	2128.80	5965	0	70
2016.11.01	2128.40	2134.65	2096.50	2107.70	9111	0	70
2016.11.02	2107.13	2111.48	2093.14	2094.99	12394	0	70
