<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.10.25	1054.65	1059.68	1026.48	1044.98	164678	0	0
2009.11.01	1043.90	1101.05	1041.18	1094.60	168907	0	0
2009.11.08	1097.75	1122.83	1095.20	1118.18	152307	0	0
2009.11.15	1118.25	1152.95	1118.25	1150.10	166020	0	0
2009.11.22	1150.15	1195.22	1137.35	1177.18	161930	0	0
2009.11.29	1177.30	1226.37	1147.22	1160.72	225121	0	0
2009.12.06	1161.05	1168.55	1109.33	1114.99	249156	0	0
2009.12.13	1114.90	1141.70	1094.63	1113.00	204636	0	0
2009.12.20	1111.95	1119.28	1074.50	1105.00	133431	0	0
2009.12.27	1105.03	1113.70	1085.80	1098.15	108794	0	0
2010.01.03	1096.85	1140.40	1092.95	1137.53	178116	0	0
2010.01.10	1137.60	1161.90	1118.50	1130.45	171928	0	0
2010.01.17	1130.40	1141.45	1082.35	1092.83	165695	0	0
2010.01.24	1092.65	1104.05	1074.15	1080.59	179309	0	0
2010.01.31	1080.65	1125.00	1044.35	1065.80	175356	0	0
2010.02.07	1065.60	1097.80	1061.55	1093.05	184515	0	0
2010.02.14	1093.00	1127.15	1091.33	1118.95	172336	0	0
2010.02.21	1118.70	1130.63	1088.20	1117.30	176320	0	0
2010.02.28	1117.50	1144.85	1112.03	1134.28	160352	0	0
2010.03.07	1134.30	1137.58	1098.15	1101.35	143815	0	0
2010.03.14	1101.50	1133.05	1100.85	1106.50	127308	0	0
2010.03.21	1107.47	1109.58	1084.95	1106.95	134729	0	0
2010.03.28	1107.05	1127.95	1101.53	1123.22	89558	0	0
2010.04.04	1126.08	1164.75	1119.70	1161.43	111558	0	0
2010.04.11	1160.45	1169.60	1130.15	1136.95	125680	0	0
2010.04.18	1133.83	1157.50	1123.68	1157.33	129621	0	0
2010.04.25	1156.53	1181.60	1146.15	1178.55	129216	0	0
2010.05.02	1177.95	1213.68	1157.15	1207.85	167770	0	0
2010.05.09	1199.05	1249.25	1183.80	1231.65	183151	0	0
2010.05.16	1230.60	1242.25	1165.95	1176.80	205185	0	0
2010.05.23	1178.20	1218.30	1176.86	1213.96	144413	0	0
2010.05.30	1212.28	1228.78	1196.32	1219.40	122808	0	0
2010.06.06	1218.75	1252.03	1210.45	1226.10	150535	0	0
2010.06.13	1227.84	1262.43	1215.97	1256.33	129501	0	0
2010.06.20	1260.55	1265.03	1224.70	1255.10	140501	0	0
2010.06.27	1254.00	1262.57	1196.25	1210.95	148243	0	0
2010.07.04	1212.03	1214.30	1184.78	1211.40	117911	0	0
2010.07.11	1211.45	1217.95	1185.93	1192.70	125115	0	0
2010.07.18	1191.85	1203.89	1175.37	1188.83	134872	0	0
2010.07.25	1187.94	1194.60	1156.75	1180.75	115208	0	0
2010.08.01	1181.70	1210.60	1174.30	1205.00	106539	0	0
2010.08.08	1204.15	1217.45	1190.47	1215.03	107612	0	0
