<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.04.26	26404.75	26525.55	26342.25	26516.55	1069611	0	0
2019.04.29	26496.25	26581.05	26479.45	26561.25	814755	0	0
2019.04.30	26559.25	26649.75	26395.55	26636.75	845547	0	0
2019.05.01	26643.25	26687.25	26330.25	26337.25	870361	0	0
2019.05.02	26335.75	26456.75	26145.55	26271.25	1248944	0	0
2019.05.03	26269.75	26505.55	26241.75	26495.05	862155	0	0
2019.05.06	26224.75	26443.05	25929.25	26199.25	1919385	0	0
2019.05.07	26214.25	26388.75	25749.05	25967.75	1891334	0	0
2019.05.08	25954.75	26075.55	25795.75	25988.25	1799044	0	0
2019.05.09	25979.25	25990.75	25497.55	25803.75	1924482	0	0
2019.05.10	25791.25	26011.55	25462.05	25960.05	2726054	0	0
2019.05.13	25743.25	25811.25	25212.55	25289.25	2056632	0	0
2019.05.14	25274.25	25673.55	25215.25	25572.75	1466365	0	0
2019.05.15	25583.25	25711.05	25323.55	25665.25	1431584	0	0
2019.05.16	25659.25	25951.55	25551.75	25872.25	1310934	0	0
2019.05.17	25875.75	25945.55	25625.55	25778.55	1575650	0	0
2019.05.20	25768.75	25897.25	25551.55	25716.25	1591809	0	0
2019.05.21	25723.75	25891.05	25709.75	25854.75	1110237	0	0
2019.05.22	25855.25	25899.75	25730.75	25762.75	1072864	0	0
2019.05.23	25769.75	25775.25	25318.55	25493.25	1463758	0	0
2019.05.24	25484.75	25660.05	25453.75	25618.55	1098555	0	0
2019.05.27	25610.25	25691.25	25581.25	25644.55	601339	0	0
2019.05.28	25635.25	25712.55	25326.75	25363.25	1139757	0	0
2019.05.29	25357.25	25372.75	24934.55	25104.25	1490662	0	0
2019.05.30	25100.75	25211.55	25054.25	25183.00	1162739	0	0
2019.05.31	25173.25	25187.25	24785.55	24803.05	1544600	0	0
2019.06.03	24729.75	24934.05	24606.75	24910.00	1772684	0	0
2019.06.04	24912.75	25359.75	24821.75	25358.00	1327690	0	0
2019.06.05	25355.75	25567.25	25340.25	25561.00	1270535	0	0
2019.06.06	25492.75	25803.55	25433.75	25696.50	1250464	0	0
2019.06.07	25689.25	26080.55	25679.25	26004.55	1067903	0	0
2019.06.10	26164.25	26275.25	26044.25	26096.50	1101280	0	0
2019.06.11	26099.75	26257.55	26006.55	26066.00	1029039	0	0
2019.06.12	26061.75	26094.55	25957.75	26014.00	1001039	0	0
2019.06.13	26017.75	26150.55	25889.25	26130.50	1175534	0	0
2019.06.14	26132.75	26173.55	26000.55	26122.05	1000078	0	0
2019.06.17	26131.75	26214.75	26061.55	26148.50	780525	0	0
2019.06.18	26154.25	26546.05	26070.75	26498.00	1061207	0	0
2019.06.19	26484.25	26584.05	26430.05	26523.50	1046234	0	0
2019.06.20	26511.75	26808.55	26511.75	26758.50	1020792	0	0
2019.06.21	26757.75	26918.55	26680.75	26693.55	1041863	0	0
2019.06.24	26669.75	26811.55	26662.75	26750.00	799656	0	0
2019.06.25	26749.75	26822.25	26537.55	26565.00	1048685	0	0
2019.06.26	26559.75	26698.75	26505.25	26520.00	1004438	0	0
2019.06.27	26516.25	26661.25	26441.75	26552.50	994588	0	0
2019.06.28	26578.25	26668.55	26518.55	26665.05	833479	0	0
2019.07.01	26812.75	26890.25	26606.55	26692.00	1028239	0	0
2019.07.02	26693.75	26800.75	26620.05	26794.00	880038	0	0
2019.07.03	26796.25	26973.55	26747.25	26969.55	638049	0	0
2019.07.04	26977.75	26998.75	26935.75	26983.05	367966	0	0
2019.07.05	26983.25	27000.25	26725.55	26881.55	826015	0	0
2019.07.08	26886.75	26921.75	26739.55	26792.00	870531	0	0
2019.07.09	26788.25	26804.55	26653.75	26782.00	821178	0	0
2019.07.10	26779.25	26979.55	26684.75	26854.00	940354	0	0
2019.07.11	26852.75	27088.55	26848.25	27077.50	842182	0	0
2019.07.12	27069.25	27326.55	27067.25	27300.55	707122	0	0
2019.07.15	27300.25	27392.75	27259.25	27335.00	656644	0	0
2019.07.16	27339.25	27391.75	27276.55	27317.00	698306	0	0
2019.07.17	27313.75	27372.75	27181.75	27182.50	697419	0	0
2019.07.18	27153.25	27299.75	27055.05	27293.00	929132	0	0
2019.07.19	27302.25	27337.75	27123.55	27129.55	1013681	0	0
2019.07.22	27101.25	27209.55	27075.55	27168.00	922132	0	0
2019.07.23	27171.75	27354.55	27157.25	27301.50	792069	0	0
2019.07.24	27297.75	27342.25	27173.55	27237.00	840225	0	0
2019.07.25	27241.25	27344.75	27037.55	27082.00	1004875	0	0
2019.07.26	27082.75	27189.55	27073.75	27145.55	704400	0	0
2019.07.29	27138.75	27251.55	27108.25	27211.00	644867	0	0
2019.07.30	27209.25	27247.25	27039.55	27200.50	861144	0	0
2019.07.31	27205.75	27251.75	26692.05	26782.50	1179652	0	0
2019.08.01	26754.75	27144.55	26508.25	26518.00	1782540	0	0
2019.08.02	26531.75	26654.25	26210.05	26440.55	2053685	0	0
2019.08.05	26430.25	26456.25	25473.55	25505.00	2263890	0	0
2019.08.06	25441.25	25992.55	25029.75	25917.00	2915000	0	0
2019.08.07	25895.75	26030.25	25390.05	25929.50	2425639	0	0
2019.08.08	25929.25	26368.75	25842.75	26360.50	1649310	0	0
2019.08.09	26267.75	26390.55	26071.05	26256.55	1731405	0	0
2019.08.12	26262.75	26349.25	25798.35	25881.50	1795525	0	0
2019.08.13	25877.75	26403.05	25747.25	26313.00	2042244	0	0
2019.08.14	26305.25	26345.25	25407.75	25409.00	2251440	0	0
2019.08.15	25380.25	25703.25	25222.75	25598.50	2769860	0	0
2019.08.16	25593.75	25923.55	25572.25	25909.55	1535785	0	0
2019.08.19	25906.25	26233.25	25906.25	26114.50	1210282	0	0
2019.08.20	26111.75	26193.75	25882.75	25891.00	1240712	0	0
